No,year,month,day,hour,season,PM_Taiyuanjie,PM_Xiaoheyan,Some_PM,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,NA,-26,69.79,1024,-22,NE,1.0289,NA,NA
2,2010,1,1,1,4,NA,NA,NA,NA,-26,76.26,1024,-23,NE,2.5722,NA,NA
3,2010,1,1,2,4,NA,NA,NA,NA,-27,69.56,1023,-23,NE,5.1444,NA,NA
4,2010,1,1,3,4,NA,NA,NA,NA,-27,69.56,1023,-23,NE,7.7166,NA,NA
5,2010,1,1,4,4,NA,NA,NA,NA,-27,69.56,1022,-23,NE,9.7744,NA,NA
6,2010,1,1,5,4,NA,NA,NA,NA,-26,76.26,1022,-23,NE,11.8322,NA,NA
7,2010,1,1,6,4,NA,NA,NA,NA,-25,76.46,1021,-22,NE,14.4044,NA,NA
8,2010,1,1,7,4,NA,NA,NA,NA,-24,70.26,1021,-20,NE,16.9766,NA,NA
9,2010,1,1,8,4,NA,NA,NA,NA,-23,70.49,1021,-19,NE,19.0344,NA,NA
10,2010,1,1,9,4,NA,NA,NA,NA,-22,70.71,1021,-18,NE,21.6066,NA,NA
11,2010,1,1,10,4,NA,NA,NA,NA,-20,77.39,1022,-17,NE,24.1788,NA,NA
12,2010,1,1,11,4,NA,NA,NA,NA,-18,77.75,1021,-15,NE,27.2655,NA,NA
13,2010,1,1,12,4,NA,NA,NA,NA,-17,77.92,1020,-14,NE,29.8377,NA,NA
14,2010,1,1,13,4,NA,NA,NA,NA,-16,78.1,1019,-13,NE,32.9244,NA,NA
15,2010,1,1,14,4,NA,NA,NA,NA,-15,84.87,1019,-13,NE,35.4966,NA,NA
16,2010,1,1,15,4,NA,NA,NA,NA,-15,78.27,1019,-12,NE,38.5833,NA,NA
17,2010,1,1,16,4,NA,NA,NA,NA,-15,78.27,1019,-12,NE,41.1555,NA,NA
18,2010,1,1,17,4,NA,NA,NA,NA,-15,78.27,1020,-12,NE,43.2133,NA,NA
19,2010,1,1,18,4,NA,NA,NA,NA,-16,78.1,1020,-13,NE,45.7855,NA,NA
20,2010,1,1,19,4,NA,NA,NA,NA,-17,77.92,1021,-14,NE,48.3577,NA,NA
21,2010,1,1,20,4,NA,NA,NA,NA,-17,84.62,1021,-15,NE,50.4155,NA,NA
22,2010,1,1,21,4,NA,NA,NA,NA,-19,77.57,1022,-16,NE,51.9588,NA,NA
23,2010,1,1,22,4,NA,NA,NA,NA,-20,77.39,1022,-17,NE,53.5021,NA,NA
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2010,1,2,1,4,NA,NA,NA,NA,-23,70.49,1023,-19,NE,1.5433,NA,NA
27,2010,1,2,2,4,NA,NA,NA,NA,-24,70.26,1023,-20,NE,2.5722,NA,NA
28,2010,1,2,3,4,NA,NA,NA,NA,-24,76.65,1023,-21,NE,3.6011,NA,NA
29,2010,1,2,4,4,NA,NA,NA,NA,-24,76.65,1024,-21,NE,4.63,NA,NA
30,2010,1,2,5,4,NA,NA,NA,NA,-24,70.26,1024,-20,NE,6.1733,NA,NA
31,2010,1,2,6,4,NA,NA,NA,NA,-27,69.56,1024,-23,NE,8.2311,NA,NA
32,2010,1,2,7,4,NA,NA,NA,NA,-27,69.56,1025,-23,NE,8.7455,NA,NA
33,2010,1,2,8,4,NA,NA,NA,NA,-27,76.07,1026,-24,NE,9.7744,NA,NA
34,2010,1,2,9,4,NA,NA,NA,NA,-25,70.03,1026,-21,cv,0.5144,NA,NA
35,2010,1,2,10,4,NA,NA,NA,NA,-25,58.89,1026,-19,SE,0.5144,NA,NA
36,2010,1,2,11,4,NA,NA,NA,NA,-24,54.37,1026,-17,NW,1.5433,NA,NA
37,2010,1,2,12,4,NA,NA,NA,NA,-24,50,1026,-16,NW,3.6011,NA,NA
38,2010,1,2,13,4,NA,NA,NA,NA,-24,50,1026,-16,NE,2.5722,NA,NA
39,2010,1,2,14,4,NA,NA,NA,NA,-24,50,1026,-16,NW,2.0578,NA,NA
40,2010,1,2,15,4,NA,NA,NA,NA,-24,50,1026,-16,NE,2.0578,NA,NA
41,2010,1,2,16,4,NA,NA,NA,NA,-24,54.37,1027,-17,NW,1.5433,NA,NA
42,2010,1,2,17,4,NA,NA,NA,NA,-24,54.37,1028,-17,NE,2.0578,NA,NA
43,2010,1,2,18,4,NA,NA,NA,NA,-25,58.89,1028,-19,NE,3.0867,NA,NA
44,2010,1,2,19,4,NA,NA,NA,NA,-25,58.89,1029,-19,cv,0.5144,NA,NA
45,2010,1,2,20,4,NA,NA,NA,NA,-26,69.79,1029,-22,NE,0.5144,NA,NA
46,2010,1,2,21,4,NA,NA,NA,NA,-29,69.08,1029,-25,SE,0.5144,NA,NA
47,2010,1,2,22,4,NA,NA,NA,NA,-28,75.87,1029,-25,SE,1.5433,NA,NA
48,2010,1,2,23,4,NA,NA,NA,NA,-29,75.67,1029,-26,SE,2.0577,NA,NA
49,2010,1,3,0,4,NA,NA,NA,NA,-30,75.47,1029,-27,SE,2.5721,NA,NA
50,2010,1,3,1,4,NA,NA,NA,NA,-29,75.67,1029,-26,SE,3.601,NA,NA
51,2010,1,3,2,4,NA,NA,NA,NA,-29,75.67,1029,-26,SE,5.1443,NA,NA
52,2010,1,3,3,4,NA,NA,NA,NA,-30,75.47,1029,-27,SE,6.1732,NA,NA
53,2010,1,3,4,4,NA,NA,NA,NA,-31,68.59,1029,-27,cv,0,NA,NA
54,2010,1,3,5,4,NA,NA,NA,NA,-31,75.27,1029,-28,cv,0.5144,NA,NA
55,2010,1,3,6,4,NA,NA,NA,NA,-31,75.27,1029,-28,NE,1.0289,NA,NA
56,2010,1,3,7,4,NA,NA,NA,NA,-31,75.27,1029,-28,NE,1.5433,NA,NA
57,2010,1,3,8,4,NA,NA,NA,NA,-31,68.59,1029,-27,NE,3.0866,NA,NA
58,2010,1,3,9,4,NA,NA,NA,NA,-28,75.87,1029,-25,NE,4.6299,NA,NA
59,2010,1,3,10,4,NA,NA,NA,NA,-27,69.56,1029,-23,NE,6.1732,NA,NA
60,2010,1,3,11,4,NA,NA,NA,NA,-25,70.03,1028,-21,NE,8.231,NA,NA
61,2010,1,3,12,4,NA,NA,NA,NA,-23,70.49,1026,-19,NE,10.8032,NA,NA
62,2010,1,3,13,4,NA,NA,NA,NA,-22,64.97,1025,-17,NE,13.3754,NA,NA
63,2010,1,3,14,4,NA,NA,NA,NA,-22,59.74,1025,-16,NE,14.9187,NA,NA
64,2010,1,3,15,4,NA,NA,NA,NA,-23,54.68,1025,-16,NE,16.462,NA,NA
65,2010,1,3,16,4,NA,NA,NA,NA,-23,54.68,1024,-16,NE,18.5198,NA,NA
66,2010,1,3,17,4,NA,NA,NA,NA,-23,59.46,1025,-17,NE,20.0631,NA,NA
67,2010,1,3,18,4,NA,NA,NA,NA,-23,59.46,1025,-17,NE,22.6353,NA,NA
68,2010,1,3,19,4,NA,NA,NA,NA,-23,59.46,1024,-17,NE,24.6931,NA,NA
69,2010,1,3,20,4,NA,NA,NA,NA,-22,59.74,1025,-16,NW,1.5433,NA,NA
70,2010,1,3,21,4,NA,NA,NA,NA,-22,59.74,1025,-16,NW,3.0866,NA,NA
71,2010,1,3,22,4,NA,NA,NA,NA,-22,64.97,1024,-17,NE,1.5433,NA,NA
72,2010,1,3,23,4,NA,NA,NA,NA,-22,64.97,1024,-17,NE,3.0866,NA,NA
73,2010,1,4,0,4,NA,NA,NA,NA,-22,70.71,1023,-18,NE,4.1155,NA,NA
74,2010,1,4,1,4,NA,NA,NA,NA,-22,70.71,1023,-18,NW,1.5433,NA,NA
75,2010,1,4,2,4,NA,NA,NA,NA,-22,70.71,1023,-18,NW,3.0866,NA,NA
76,2010,1,4,3,4,NA,NA,NA,NA,-23,64.72,1022,-18,NW,4.6299,NA,NA
77,2010,1,4,4,4,NA,NA,NA,NA,-23,64.72,1022,-18,NW,6.1732,NA,NA
78,2010,1,4,5,4,NA,NA,NA,NA,-24,64.46,1023,-19,NW,8.231,NA,NA
79,2010,1,4,6,4,NA,NA,NA,NA,-24,70.26,1023,-20,NE,1.5433,NA,NA
80,2010,1,4,7,4,NA,NA,NA,NA,-25,64.19,1023,-20,NW,2.0578,NA,NA
81,2010,1,4,8,4,NA,NA,NA,NA,-25,64.19,1023,-20,NE,3.0867,NA,NA
82,2010,1,4,9,4,NA,NA,NA,NA,-24,70.26,1024,-20,NE,6.1734,NA,NA
83,2010,1,4,10,4,NA,NA,NA,NA,-24,59.18,1024,-18,NW,3.0867,NA,NA
84,2010,1,4,11,4,NA,NA,NA,NA,-24,54.37,1023,-17,NW,6.6878,NA,NA
85,2010,1,4,12,4,NA,NA,NA,NA,-24,54.37,1023,-17,NE,4.1156,NA,NA
86,2010,1,4,13,4,NA,NA,NA,NA,-24,54.37,1023,-17,NW,3.0867,NA,NA
